"context","n","n_athletes","wellbeing_mean","wellbeing_sd","sRPE_mean","sRPE_sd","exposure_mean","exposure_sd"
"game",187,24,0.108588109140456,0.371347530099013,6.89304812834225,1.43283492691194,15.3111607843137,4.20083783513525
"practice",1353,24,-0.0150081126454288,0.363304812577883,5.26237989652624,1.61260180100037,74.90022172949,16.381173571632
