"item","srpe_unadj_beta","srpe_unadj_p","srpe_adj_beta","srpe_adj_p","duration_beta","duration_p"
"confidence",0.0248332241288066,0.538253589418873,0.011605118406759,0.746066651354517,0.318947921039332,0.474245589446503
"excitement",0.0714851351524784,0.0762984599995652,0.0322339144139645,0.369064461047189,0.948709355051006,0.0331632824856869
"fatigue",0.122879436423377,0.0022845077779224,0.0319148470951889,0.37742082383128,2.20660832157783,6.59466527567214e-07
"sleep",0.094503207597054,0.0190584933794065,0.0239615039559464,0.505968787294561,1.70660299825602,0.000123534009662395
"stress",-0.00741443907167764,0.854214008197182,-0.0202637321706144,0.57175417109566,0.30953478896179,0.487390466829035
