"HR_metric","GamePosition_beta","GamePosition_SE","GamePosition_p","HR_within_beta","HR_within_SE","HR_within_p","Interaction_beta","Interaction_SE","Interaction_p"
"TRIMPmin",0.823813092669227,0.130788487096049,1.12402951462546e-09,0.765936258011943,0.0935242120696089,8.45450247728933e-15,-0.241906689943797,0.133138253658324,0.070258963757935
"HR_avg",0.965828360720851,0.136133537945718,1.01973578603267e-11,0.827220868198826,0.0978730506822994,1.59871599359862e-15,-0.216198753953374,0.137241775688588,0.116270304144548
"HR80",0.601045524273213,0.1210432329689,1.18696090361874e-06,0.639356323406828,0.0807028617291854,5.11222724030786e-14,-0.155634577465909,0.125554760724583,0.216134912919656
"HR_peak",0.296572122919535,0.143600447314783,0.0398086291881712,0.21697157424568,0.11726392801369,0.0652924243712575,-0.0456421747847838,0.153948233971968,0.767076428652279
