"model","term","estimate","SE","t","p","ci_lower","ci_upper","R2_marginal","R2_conditional"
"sRPE_TRIMP_ratio","(Intercept)",0.0304173844106366,0.0013149483919706,23.1319986368838,1.93597891705133e-19,0.0278401329208453,0.0329946359004278,0.314593676974904,NA
"sRPE_TRIMP_ratio","game_position_fGame2",0.00783195183402305,0.000653426731996393,11.9859678989477,5.41399355278106e-27,0.00655125897277442,0.00911264469527169,0.314593676974904,NA
"sRPE_TRIMPmin_ratio","(Intercept)",5.29770252497185,0.212489324776233,24.9316172967782,8.87697477902072e-20,4.8812311013112,5.7141739486325,0.156428073273085,0.539076036510654
"sRPE_TRIMPmin_ratio","game_position_fGame2",1.119043100011,0.108575525688883,10.3065869855197,2.50332350211905e-21,0.906238980058287,1.33184721996372,0.156428073273085,0.539076036510654
