"metric","session1_mean","session1_sd","session2_mean","session2_sd","difference","pct_difference"
"Duration (mins)",90,0,90,0,0,0
"TRIMP",108.637551443917,21.5954481096552,111.468949890137,22.2764961099174,2.83139844621938,2.57275312547192
"HR80 (mins)",18.9488539684387,7.10821555001432,17.1105533325672,5.50174226818835,-1.83830063587144,10.1959559153384
"HR_avg_%max",67.7142857142857,3.60753180364161,67.3,4.0665516233368,-0.414285714285711,0.613691672838848
"sRPE",5.61904761904762,1.35927151357595,5.2,1.43636969291922,-0.419047619047618,7.74647887323942
"N Athletes",21,NA,20,NA,-1,4.8780487804878
