"metric","value"
"ICC(3,1)",0.775862068965518
"ICC_CI_lower",0.506478967431596
"ICC_CI_upper",0.907257460359169
"ICC_F",7.92307692307694
"ICC_p",2.90643536837085e-05
"SD_pooled",1.41948440943189
"SEM",0.672029451479807
"MDC95",1.86277060260992
"Spearman_rho",0.675060751460376
"Spearman_p",0.00151825663433914
"Pearson_r",0.77690202156883
"Pearson_CI_lower",0.49865681295691
"Pearson_CI_upper",0.909995598490298
"Pearson_p",9.12685068066219e-05
"N_athletes",19
