"model","R2_m","R2_c","AIC","BIC","delta_R2_m","delta_AIC"
"1_Intensity_Only",0.343538336508599,0.464667253753731,5971.39852818295,6009.78123909547,NA,NA
"2_Plus_Duration",0.438689855068955,0.560261440786492,5627.69974632361,5677.04894606828,0.0951515185603567,-343.698781859335
"3_Plus_Duration_x_Context",0.45200087675762,0.575447528333525,5572.13987624451,5626.97232040525,0.0133110216886643,-55.5598700791015
