"model","R2_m","R2_c","AIC","BIC","context"
"Intensity_only",0.222238498321206,0.372523068904634,4436.77462069321,4462.64057940565,"Practice"
"Duration_only",0.220614218925243,0.331661773207498,4500.18527639439,4526.05123510682,"Practice"
"Both",0.427721234616893,0.547278898618957,4019.54415855705,4055.75650075446,"Practice"
"Intensity_only",0.198242311427877,0.407240111746256,585.820671638594,601.757600667798,"Game"
"TOI_only",0.217962507753435,0.507404775993458,564.493526065748,580.430455094951,"Game"
"Both",0.288627002479986,0.515976578619274,563.19791950824,585.509620149125,"Game"
