"model","R2_m","R2_c","AIC","BIC","context"
"Duration_only",0.376137955244526,0.480565387702421,12020.5899054404,12046.4558641528,"Practice"
"sRPE_only",0.40695407695959,0.538565685043836,11882.4597139702,11908.3256726826,"Practice"
"sRPE-TL",0.512055841492777,0.641413808232895,11558.3160352278,11584.1819939402,"Practice"
"TOI_only",0.141313070287388,0.227137176608612,1761.38405973672,1777.32098876593,"Game"
"sRPE_only",0.173584586462384,0.216698649497509,1758.00264256524,1773.93957159444,"Game"
"sRPE-TL_TOI",0.195444027791631,0.251159373854314,1751.91347685083,1767.85040588004,"Game"
