"context","component","R2","pct_of_total"
"Practice","Unique_sRPE",0.161629411705189,30.0556377420169
"Practice","Unique_Duration",0.130813289990125,24.3252562408379
"Practice","Shared",0.245324665254401,45.6191060171452
"Game","Unique_sRPE",0.0741930864564767,34.4273628083198
"Game","Unique_TOI",0.0419215702814809,19.4526091109805
"Game","Shared",0.0993915000059075,46.1200280806998
