"context","predictor","beta","p"
"Practice","Intensity (TRIMPmin)",0.740749080796497,6.93829873817259e-109
"Practice","Duration",0.676795641292976,8.18059910371486e-94
"Game","Intensity (TRIMPmin)",0.190589864615172,0.0283508237669271
"Game","TOI",0.502171414095739,3.1017217017132e-08
