"context","outcome","duration_only_R2","sRPE_TL_R2","sRPE_intensity_TL_R2","sRPE_TL_improvement","intensity_only_improvement"
"Practice","TRIMP",0.376137955244526,0.512055841492777,0.172149168087526,0.135917886248251,-0.203988787157
"Practice","HR80",0.180507187168867,0.380325862454481,0.239885692152665,0.199818675285614,0.0593785049837975
"Game","TRIMP",0.141313070287388,0.195444027791631,0.0339100065036306,0.0541309575042429,-0.107403063783758
"Game","HR80",0.282328337321048,0.3407123625938,0.0202019001109371,0.058384025272752,-0.262126437210111
