"context","component","value","pct_of_total"
"Practice","R2_Duration_only",0.376137955244526,69.9443622579831
"Practice","R2_sRPE_only",0.40695407695959,75.6747437591621
"Practice","R2_Both",0.537767366949715,100
"Practice","Unique_sRPE",0.161629411705189,30.0556377420169
"Game","R2_TOI_only",0.141313070287388,65.5726371916802
"Game","R2_sRPE_only",0.173584586462384,80.5473908890195
"Game","R2_Both",0.215506156743865,100
"Game","Unique_sRPE",0.0741930864564767,34.4273628083198
