"context","outcome","duration_only_R2","sRPE_TL_R2","delta_R2","pct_improvement"
"Practice","TRIMP",0.376137955244526,0.512055841492777,0.135917886248251,36.1351159469912
"Practice","HR80",0.180507187168867,0.380325862454481,0.199818675285614,110.698459390806
"Game","TRIMP",0.141313070287388,0.195444027791631,0.0541309575042429,38.3056976924759
"Game","HR80",0.282328337321048,0.3407123625938,0.058384025272752,20.6794775992893
