"context","predictor","beta","SE","CI_lower","CI_upper","p"
"Practice","Intensity (TRIMPmin)",0.740749080796497,0.0302548508800204,0.681450662714028,0.800047498878967,6.93829873817259e-109
"Practice","Duration",0.676795641292976,0.0302548508800204,0.617497223210506,0.736094059375446,8.18059910371486e-94
"Game","Intensity (TRIMPmin)",0.158193694992043,0.0874277720458697,-0.0131615894664397,0.329548979450525,0.0723917459006949
"Game","TOI",0.508332392163212,0.0874277720458697,0.33697710770473,0.679687676621694,3.54924175056309e-08
