"model","outcome","model_type","term","estimate","std_error","t_value","p_value","ci_lower","ci_upper","R2_marginal","R2_conditional","AIC","BIC","random_intercept_var","random_slope_var","random_intercept_slope_cor","residual_var"
"TRIMP","sRPE_TL_exposure","RI","(Intercept)",555.389061254319,10.1476897558593,54.7305913578639,1.52496016015415e-13,535.499954806549,575.278167702089,0.690282045327195,0.703772425192091,6026.53007711235,6056.04631981994,459.363774344492,NA,NA,10086.9077217589
"TRIMP","sRPE_TL_exposure","RI","TRIMP_within_z",233.720373124942,9.39412852600301,24.8794097800559,6.57966424144432e-89,215.308219547835,252.132526702048,0.690282045327195,0.703772425192091,6026.53007711235,6056.04631981994,459.363774344492,NA,NA,10086.9077217589
"TRIMP","sRPE_TL_exposure","RI","TRIMP_between_z",35.9154097638254,8.04255344638271,4.46567250106109,0.00390013349668548,20.1522946651768,51.6785248624739,0.690282045327195,0.703772425192091,6026.53007711235,6056.04631981994,459.363774344492,NA,NA,10086.9077217589
"TRIMP","sRPE_TL_exposure","RI","context_fgame",-474.220122400412,34.3318425861625,-13.8128363256433,6.43518747111302e-37,-541.509297392189,-406.930947408635,0.690282045327195,0.703772425192091,6026.53007711235,6056.04631981994,459.363774344492,NA,NA,10086.9077217589
"TRIMP","sRPE_TL_exposure","RI","TRIMP_within_z:context_fgame",-208.457287967828,24.4261757782322,-8.53417619935405,1.74528278084449e-16,-256.331712773207,-160.582863162448,0.690282045327195,0.703772425192091,6026.53007711235,6056.04631981994,459.363774344492,NA,NA,10086.9077217589
"HR80_mins","sRPE_TL_exposure","RI","(Intercept)",496.013222356917,10.0561810924654,49.3242134162195,5.10518308869181e-11,476.303469593672,515.722975120162,0.59442956408367,0.608989533938431,6153.00374275344,6182.51998546104,484.810159765017,NA,NA,13019.659272104
"HR80_mins","sRPE_TL_exposure","RI","HR80_mins_within_z",151.297125913535,7.88590508160052,19.1857655333113,9.14443538144558e-62,135.841035968097,166.753215858974,0.59442956408367,0.608989533938431,6153.00374275344,6182.51998546104,484.810159765017,NA,NA,13019.659272104
"HR80_mins","sRPE_TL_exposure","RI","HR80_mins_between_z",24.2249090644482,10.0373020191223,2.4134881084874,0.0514202659396294,4.55215860501737,43.897659523879,0.59442956408367,0.608989533938431,6153.00374275344,6182.51998546104,484.810159765017,NA,NA,13019.659272104
"HR80_mins","sRPE_TL_exposure","RI","context_fgame",-403.348648515586,28.8904669285723,-13.9613059737944,1.36597429380358e-37,-459.972923192133,-346.724373839039,0.59442956408367,0.608989533938431,6153.00374275344,6182.51998546104,484.810159765017,NA,NA,13019.659272104
"HR80_mins","sRPE_TL_exposure","RI","HR80_mins_within_z:context_fgame",-128.609318029135,21.7488588887862,-5.91338233820842,6.24565806159174e-09,-171.236298156,-85.9823379022707,0.59442956408367,0.608989533938431,6153.00374275344,6182.51998546104,484.810159765017,NA,NA,13019.659272104
"TRIMP","sRPE_TL_exposure","RS","(Intercept)",553.309171257362,9.36404727006068,59.0886777159313,7.50469665705189e-14,534.955975858512,571.662366656211,0.684879583841548,0.703155744049844,6027.89089934315,6065.84035425291,347.162338902316,176.953457570426,-247.853833353409,9996.64125751759
