"HR_metric","beta_interaction","SE","CI_95","p"
"TRIMP_min",-0.122,0.081,"[-0.28, 0.036]","0.131"
"HR_avg_pct_max",-0.224,0.076,"[-0.373, -0.075]","0.003"
"HR80_pct_rd",0.003,0.089,"[-0.171, 0.176]","0.977"
"HR_peak",-0.459,0.117,"[-0.688, -0.231]","< .001"
