"HR_metric","beta_interaction","SE","CI_95","p"
"TRIMP_min",-0.15,0.103,"[-0.352, 0.052]","0.146"
"HR_avg_pct_max",-0.274,0.098,"[-0.466, -0.082]","0.005"
"HR80_pct_rd",-0.014,0.114,"[-0.237, 0.21]","0.905"
"HR_peak",-0.53,0.15,"[-0.824, -0.235]","< .001"
