"HR_metric","beta_game","SE","CI_95","p"
"TRIMP_min",1.604,0.108,"[1.392, 1.815]","< .001"
"HR_avg_pct_max",1.289,0.118,"[1.058, 1.52]","< .001"
"HR80_pct_rd",1.61,0.106,"[1.402, 1.818]","< .001"
"HR_peak",1.152,0.187,"[0.785, 1.519]","< .001"
