"model","outcome","model_type","term","estimate","std_error","t_value","p_value","ci_lower","ci_upper","R2_marginal","R2_conditional","AIC","BIC","random_intercept_var","random_slope_var","random_intercept_slope_cor","residual_var"
"TRIMP_TOI","sRPE_TL_toi","RI","(Intercept)",100.261449696453,7.9709896641844,12.578293777867,9.31992980144126e-07,84.6385970335106,115.884302359395,0.12041612388996,0.495435460500418,960.802916268964,971.183395669502,595.153152852908,NA,NA,800.740514382792
"TRIMP_TOI","sRPE_TL_toi","RI","TRIMP_within_game_z",13.8238769833838,2.8584648983912,4.83611920201089,5.79813655852075e-06,8.2213887314651,19.4263652353025,0.12041612388996,0.495435460500418,960.802916268964,971.183395669502,595.153152852908,NA,NA,800.740514382792
"HR80_mins_TOI","sRPE_TL_toi","RI","(Intercept)",100.013492795122,8.10680039515249,12.3369872107528,9.03556723710766e-07,84.1244559907681,115.902529599476,0.20116701608309,0.597234555867889,942.774863262118,953.155342662656,637.719424758616,NA,NA,648.503907904539
"HR80_mins_TOI","sRPE_TL_toi","RI","HR80_mins_within_game_z",17.9973509082666,2.57242819440163,6.9962500595485,5.49737382031341e-10,12.955484294424,23.0392175221092,0.20116701608309,0.597234555867889,942.774863262118,953.155342662656,637.719424758616,NA,NA,648.503907904539
"TRIMP_Duration","sRPE_TL_duration","RI","(Intercept)",1027.75469842616,51.4212472947309,19.9869655540518,6.2274886317353e-09,926.970905688363,1128.53849116396,0.0457523816373037,0.520583574239125,1300.6068554252,1310.98733482574,25678.1693224048,NA,NA,25926.1319568638
"TRIMP_Duration","sRPE_TL_duration","RI","TRIMP_within_game_z",49.7415439929041,16.2650658439114,3.05818276238483,0.00296473822358194,17.8626007326652,81.6204872531431,0.0457523816373037,0.520583574239125,1300.6068554252,1310.98733482574,25678.1693224048,NA,NA,25926.1319568638
"HR80_mins_Duration","sRPE_TL_duration","RI","(Intercept)",1027.56688195748,51.5027011879092,19.9517085173527,6.14165431607277e-09,926.623442522648,1128.51032139231,0.0640991881819682,0.542368158945958,1296.74768221617,1307.12816161671,25911.1569626078,NA,NA,24793.1000953226
"HR80_mins_Duration","sRPE_TL_duration","RI","HR80_mins_within_game_z",58.929609660477,15.9056850622414,3.70494005318703,0.000372263561500223,27.755039789047,90.1041795319069,0.0640991881819682,0.542368158945958,1296.74768221617,1307.12816161671,25911.1569626078,NA,NA,24793.1000953226
