"HR_metric","beta_game","SE","CI_95","p"
"TRIMP_min",1.373,0.067,"[1.241, 1.504]","< .001"
"HR_avg_pct_max",1.074,0.073,"[0.93, 1.218]","< .001"
"HR80_pct_rd",1.389,0.067,"[1.258, 1.519]","< .001"
"HR_peak",1.11,0.122,"[0.872, 1.348]","< .001"
