"model","context","estimate","SE","lower.CL","upper.CL","CI_95"
"TRIMP_min","practice",0.635,0.053,0.53,0.74,"[0.53, 0.74]"
"TRIMP_min","game",0.539,0.116,0.311,0.767,"[0.311, 0.767]"
"HR_avg_pct_max","practice",0.681,0.057,0.568,0.794,"[0.568, 0.794]"
"HR_avg_pct_max","game",0.52,0.103,0.318,0.722,"[0.318, 0.722]"
"HR80_pct_rd","practice",0.682,0.054,0.577,0.787,"[0.577, 0.787]"
"HR80_pct_rd","game",0.667,0.128,0.417,0.918,"[0.417, 0.918]"
"HR_peak","practice",0.669,0.071,0.53,0.807,"[0.53, 0.807]"
"HR_peak","game",0.308,0.168,-0.021,0.637,"[-0.021, 0.637]"
