"athlete_id","position_group","n","r","ci_lo","ci_hi","pair"
"P18","Defenseman",85,0.802953455389586,0.711605512031646,0.86760534687435,"TRIMP vs sRPE"
"P19","Forward",72,0.583644577511813,0.407008492463567,0.718203352917641,"TRIMP vs sRPE"
"P20","Forward",47,0.561331308212938,0.326851571693411,0.730710683587655,"TRIMP vs sRPE"
"P21","Forward",88,0.788423920963612,0.693498591527814,0.856442447995862,"TRIMP vs sRPE"
"P22","Forward",90,0.512812853639486,0.342046757316617,0.650790660609348,"TRIMP vs sRPE"
"P23","Forward",54,0.715697252027778,0.554127122273754,0.82530086754771,"TRIMP vs sRPE"
"P01","Forward",89,0.595635414789803,0.442235867096113,0.715177850641108,"HR80 mins vs sRPE"
"P02","Forward",69,0.447374106065153,0.235644596379117,0.618558814988837,"HR80 mins vs sRPE"
"P03","Defenseman",91,0.758676955592217,0.655086497014584,0.834270673180658,"HR80 mins vs sRPE"
"P04","Defenseman",58,0.769279193688549,0.637694268161409,0.857240032214694,"HR80 mins vs sRPE"
"P05","Defenseman",61,0.771472723567319,0.644947824522222,0.856833912394487,"HR80 mins vs sRPE"
"P06","Forward",77,0.651732041343052,0.500866835740599,0.764162829767907,"HR80 mins vs sRPE"
"P07","Defenseman",86,0.738192304582159,0.623897504999337,0.821570164796265,"HR80 mins vs sRPE"
"P08","Defenseman",84,0.562655024861848,0.396033581225504,0.693404462333885,"HR80 mins vs sRPE"
"P09","Defenseman",41,0.78106545033446,0.623156473524493,0.877787766697648,"HR80 mins vs sRPE"
"P10","Defenseman",73,0.611523118895384,0.443910217960968,0.737789688407927,"HR80 mins vs sRPE"
"P11","Forward",71,0.650673312936822,0.49206767253747,0.767471421230676,"HR80 mins vs sRPE"
"P12","Forward",82,0.755796667197462,0.644495321691398,0.835732568021354,"HR80 mins vs sRPE"
"P13","Forward",86,0.662064427613191,0.523643217828951,0.766428854631498,"HR80 mins vs sRPE"
"P14","Forward",92,0.71233776571639,0.594215981354624,0.800380340757216,"HR80 mins vs sRPE"
"P15","Defenseman",62,0.72239963259051,0.576683928523063,0.823569217209618,"HR80 mins vs sRPE"
"P16","Forward",86,0.566965982310764,0.403569944095865,0.695315736354944,"HR80 mins vs sRPE"
"P17","Forward",39,0.548234810907253,0.281392271995692,0.736375516995768,"HR80 mins vs sRPE"
"P18","Defenseman",85,0.811564613311136,0.723596680545965,0.873589238660635,"HR80 mins vs sRPE"
"P19","Forward",72,0.673595437505061,0.523641617418416,0.783065873407291,"HR80 mins vs sRPE"
"P20","Forward",47,0.399919205121251,0.127381312160135,0.6163071341768,"HR80 mins vs sRPE"
"P21","Forward",88,0.722349201781404,0.604337424850271,0.809345252945132,"HR80 mins vs sRPE"
"P22","Forward",90,0.567531448889434,0.408445191564375,0.693155498673725,"HR80 mins vs sRPE"
"P23","Forward",54,0.763044475156253,0.622460908463338,0.855927693324774,"HR80 mins vs sRPE"
"P01","Forward",89,0.899811414333036,0.85103087657026,0.933195059154109,"TRIMP vs sRPE-TL"
"P02","Forward",69,0.843194385754663,0.757732780284556,0.90022010474816,"TRIMP vs sRPE-TL"
"P03","Defenseman",91,0.89133978830593,0.839499142733977,0.927099849231874,"TRIMP vs sRPE-TL"
"P04","Defenseman",58,0.886177758648596,0.814263653197202,0.931302210011296,"TRIMP vs sRPE-TL"
"P05","Defenseman",61,0.868607932079369,0.78947092478296,0.919338542039244,"TRIMP vs sRPE-TL"
"P06","Forward",77,0.912939186676898,0.86604929392583,0.943908502267332,"TRIMP vs sRPE-TL"
"P07","Defenseman",86,0.909272968093632,0.863813473977507,0.940046063133063,"TRIMP vs sRPE-TL"
"P08","Defenseman",84,0.911312520101674,0.866145777822807,0.941714557515509,"TRIMP vs sRPE-TL"
"P09","Defenseman",41,0.940290774228759,0.89014113616753,0.967935880584381,"TRIMP vs sRPE-TL"
"P10","Defenseman",73,0.901406695701529,0.846992206166402,0.937128370370968,"TRIMP vs sRPE-TL"
"P11","Forward",71,0.882555522345048,0.817598097164088,0.925330474159106,"TRIMP vs sRPE-TL"
"P12","Forward",82,0.94222606015476,0.911617065242935,0.962442740894358,"TRIMP vs sRPE-TL"
"P13","Forward",86,0.891244799455398,0.837520870977686,0.927901838676966,"TRIMP vs sRPE-TL"
"P14","Forward",92,0.883501091407952,0.828629498340246,0.921556880026963,"TRIMP vs sRPE-TL"
"P15","Defenseman",62,0.856572262360198,0.771960848586677,0.911359993714123,"TRIMP vs sRPE-TL"
"P16","Forward",86,0.883273943739439,0.825974811740936,0.922507556493411,"TRIMP vs sRPE-TL"
"P17","Forward",39,0.825307662714529,0.689277547523544,0.905130073647273,"TRIMP vs sRPE-TL"
"P18","Defenseman",85,0.935665522981174,0.902514418235753,0.957793306677088,"TRIMP vs sRPE-TL"
"P19","Forward",72,0.788720954745816,0.681594625708578,0.862746820475632,"TRIMP vs sRPE-TL"
"P20","Forward",47,0.788561635297276,0.648172711357469,0.877108369962897,"TRIMP vs sRPE-TL"
"P21","Forward",88,0.880576346026192,0.822901780322287,0.920289672834437,"TRIMP vs sRPE-TL"
"P22","Forward",90,0.858141082189835,0.791755529125741,0.904491876404666,"TRIMP vs sRPE-TL"
"P23","Forward",54,0.902067348256535,0.83630668190462,0.942240875720916,"TRIMP vs sRPE-TL"
"P01","Forward",89,0.75999665269951,0.655486695841621,0.835944720285004,"HR80 mins vs sRPE-TL"
"P02","Forward",69,0.711093319613942,0.570414573692949,0.811240556456771,"HR80 mins vs sRPE-TL"
"P03","Defenseman",91,0.868780196594066,0.807273345859136,0.911617675752972,"HR80 mins vs sRPE-TL"
"P04","Defenseman",58,0.786062057487799,0.662221404202011,0.868101529098564,"HR80 mins vs sRPE-TL"
