"athlete_id","position_group","n_pair","r","ci_lo","ci_hi","pair","context"
"P04","Defenseman",58,0.48935746275129,0.264493376983294,0.663755259759245,"HRpeak vs sRPE","overall"
"P05","Defenseman",61,0.466627803833935,0.24340924783078,0.642903200372844,"HRpeak vs sRPE","overall"
"P06","Forward",77,0.596453139107473,0.429906792634294,0.723744818252939,"HRpeak vs sRPE","overall"
"P07","Defenseman",86,0.540545082385375,0.371180366334838,0.675102190199177,"HRpeak vs sRPE","overall"
"P08","Defenseman",84,0.399674855598488,0.202643896194078,0.56560432931423,"HRpeak vs sRPE","overall"
"P09","Defenseman",73,0.535132803377522,0.3478974602878,0.681318499443377,"HRpeak vs sRPE","overall"
"P10","Forward",71,0.693058240996727,0.548432195318556,0.797424030979125,"HRpeak vs sRPE","overall"
"P11","Forward",82,0.704149386328857,0.575006356620824,0.799056358192627,"HRpeak vs sRPE","overall"
"P12","Forward",86,0.542779541847994,0.37390374546732,0.676819540199893,"HRpeak vs sRPE","overall"
"P13","Forward",92,0.602363894229931,0.453496435706708,0.718532617440388,"HRpeak vs sRPE","overall"
"P14","Defenseman",62,0.529181280327806,0.321968511332773,0.688012979304374,"HRpeak vs sRPE","overall"
"P15","Forward",86,0.362920736655636,0.16362736944596,0.533753634185243,"HRpeak vs sRPE","overall"
"P16","Defenseman",85,0.742093104833774,0.628347085160908,0.824772837560919,"HRpeak vs sRPE","overall"
"P17","Forward",72,0.478386279911888,0.27746877098931,0.639212765762612,"HRpeak vs sRPE","overall"
"P18","Forward",88,0.608265459234383,0.45704973566258,0.725306245146492,"HRpeak vs sRPE","overall"
"P19","Forward",90,0.503020992166224,0.330341991628485,0.643117771249614,"HRpeak vs sRPE","overall"
"P01","Forward",89,0.550914619364462,0.387066697691941,0.681035057464278,"TRIMP vs sRPE","overall"
"P02","Forward",69,0.334545403728978,0.106280007385117,0.529314725663705,"TRIMP vs sRPE","overall"
"P03","Defenseman",91,0.752080987753001,0.646228695966843,0.829540609616282,"TRIMP vs sRPE","overall"
"P04","Defenseman",58,0.76616801528508,0.633176598284455,0.855217909496105,"TRIMP vs sRPE","overall"
"P05","Defenseman",61,0.761772483148047,0.630995722857342,0.850451095282168,"TRIMP vs sRPE","overall"
"P06","Forward",77,0.712880913618397,0.581797886589572,0.807867372809374,"TRIMP vs sRPE","overall"
"P07","Defenseman",86,0.691913996864177,0.562501047978954,0.788234530011341,"TRIMP vs sRPE","overall"
