"model","outcome","model_type","term","estimate","std_error","t_value","p_value","ci_lower","ci_upper","R2_marginal","R2_conditional","AIC","BIC","random_intercept_var","random_slope_var","random_intercept_slope_cor","residual_var"
"TRIMP_min","sRPE","RI","(Intercept)",5.53483449262849,0.152650525358881,36.2582079532063,1.67061887502784e-08,5.23564496070397,5.83402402455302,0.390210516384053,0.45312418934231,1894.00386877,1924.78237635651,0.148037235395838,NA,NA,1.28681062967563
"TRIMP_min","sRPE","RI","TRIMP_min_within_z",0.635444883434527,0.0534444344774614,11.8898233211263,2.24026122880343e-29,0.530695716684591,0.740194050184462,0.390210516384053,0.45312418934231,1894.00386877,1924.78237635651,0.148037235395838,NA,NA,1.28681062967563
"TRIMP_min","sRPE","RI","TRIMP_min_between_z",0.164733057248577,0.162430247524312,1.01417722228072,0.350751930934478,-0.153624377899001,0.483090492396154,0.390210516384053,0.45312418934231,1894.00386877,1924.78237635651,0.148037235395838,NA,NA,1.28681062967563
"TRIMP_min","sRPE","RI","context_fgame",1.60384263137887,0.107920225081233,14.8613721864613,1.04226452277897e-42,1.3923228770162,1.81536238574154,0.390210516384053,0.45312418934231,1894.00386877,1924.78237635651,0.148037235395838,NA,NA,1.28681062967563
"TRIMP_min","sRPE","RI","TRIMP_min_within_z:context_fgame",-0.0964665142990093,0.129407252615685,-0.74544905597754,0.456295167112327,-0.350100068764028,0.15716704016601,0.390210516384053,0.45312418934231,1894.00386877,1924.78237635651,0.148037235395838,NA,NA,1.28681062967563
"HR_avg_pct_max","sRPE","RI","(Intercept)",5.64911400164965,0.154533748724501,36.555859469382,1.317645325692e-08,5.34623341975367,5.95199458354564,0.386968645937434,0.450828485851253,1891.09155067638,1921.8700582629,0.148914017977705,NA,NA,1.28060666674318
"HR_avg_pct_max","sRPE","RI","HR_avg_pct_max_within_z",0.681071591775576,0.0573627242962747,11.8730691425652,2.60380382599989e-29,0.568642718099776,0.793500465451375,0.386968645937434,0.450828485851253,1891.09155067638,1921.8700582629,0.148914017977705,NA,NA,1.28060666674318
"HR_avg_pct_max","sRPE","RI","HR_avg_pct_max_between_z",0.097965460880068,0.178754892291115,0.548043522750271,0.603618138139163,-0.252387690070854,0.44831861183099,0.386968645937434,0.450828485851253,1891.09155067638,1921.8700582629,0.148914017977705,NA,NA,1.28060666674318
"HR_avg_pct_max","sRPE","RI","context_fgame",1.28903537119213,0.117979339110907,10.9259416174587,1.89863161941525e-25,1.05780011561492,1.52027062676935,0.386968645937434,0.450828485851253,1891.09155067638,1921.8700582629,0.148914017977705,NA,NA,1.28060666674318
"HR_avg_pct_max","sRPE","RI","HR_avg_pct_max_within_z:context_fgame",-0.161213808384658,0.119533861094811,-1.34868736697787,0.177951471659686,-0.395495871063501,0.0730682542941843,0.386968645937434,0.450828485851253,1891.09155067638,1921.8700582629,0.148914017977705,NA,NA,1.28060666674318
"HR80_pct_rd","sRPE","RI","(Intercept)",5.54716737403676,0.165093053803304,33.6002469288973,2.38293315922153e-08,5.22359093448455,5.87074381358897,0.402230723489037,0.474808048730397,1873.36987669694,1904.14838428345,0.171673386256385,NA,NA,1.24228166867841
"HR80_pct_rd","sRPE","RI","HR80_pct_rd_within_z",0.682140703033712,0.0535447017867305,12.7396489339074,5.13866743981452e-33,0.577195015968783,0.787086390098642,0.402230723489037,0.474808048730397,1873.36987669694,1904.14838428345,0.171673386256385,NA,NA,1.24228166867841
"HR80_pct_rd","sRPE","RI","HR80_pct_rd_between_z",0.112432708412219,0.212270507942922,0.52966711910093,0.615688678151387,-0.303609842135932,0.52847525896037,0.402230723489037,0.474808048730397,1873.36987669694,1904.14838428345,0.171673386256385,NA,NA,1.24228166867841
"HR80_pct_rd","sRPE","RI","context_fgame",1.60998714006272,0.106038014398704,15.1831128599707,3.1323715299562e-44,1.40215645084912,1.81781782927632,0.402230723489037,0.474808048730397,1873.36987669694,1904.14838428345,0.171673386256385,NA,NA,1.24228166867841
"HR80_pct_rd","sRPE","RI","HR80_pct_rd_within_z:context_fgame",-0.0147496761331858,0.139856534138634,-0.105462903281767,0.916044076570432,-0.288863446047504,0.259364093781133,0.402230723489037,0.474808048730397,1873.36987669694,1904.14838428345,0.171673386256385,NA,NA,1.24228166867841
"HR_peak","sRPE","RI","(Intercept)",5.78505124771937,0.144173780682296,40.1255430796215,1.88712973549741e-09,5.50247583006709,6.06762666537164,0.325995779527723,0.383669453895018,1953.25186716439,1984.0303747509,0.133391145903301,NA,NA,1.42548638875647
"HR_peak","sRPE","RI","HR_peak_within_z",0.668679703549746,0.0705352465156892,9.48007891914025,6.01018169301346e-20,0.530433160738341,0.806926246361152,0.325995779527723,0.383669453895018,1953.25186716439,1984.0303747509,0.133391145903301,NA,NA,1.42548638875647
"HR_peak","sRPE","RI","HR_peak_between_z",0.0856812723806843,0.119701383446396,0.71579183058526,0.501066139201945,-0.148929128073872,0.32029167283524,0.325995779527723,0.383669453895018,1953.25186716439,1984.0303747509,0.133391145903301,NA,NA,1.42548638875647
"HR_peak","sRPE","RI","context_fgame",1.15236621168088,0.18729913971794,6.15254407156522,1.4008198549238e-09,0.785266643498379,1.51946577986337,0.325995779527723,0.383669453895018,1953.25186716439,1984.0303747509,0.133391145903301,NA,NA,1.42548638875647
"HR_peak","sRPE","RI","HR_peak_within_z:context_fgame",-0.360329380175777,0.183236227448745,-1.96647456233276,0.0497083006689283,-0.719465786638308,-0.00119297371324689,0.325995779527723,0.383669453895018,1953.25186716439,1984.0303747509,0.133391145903301,NA,NA,1.42548638875647
