"HR_metric","model_type","AIC","BIC","R2_marginal","R2_conditional","delta_AIC"
"HR80_pct_rd","RI",1873.4,1904.1,0.402,0.475,6.3
"HR80_pct_rd","RS",1867.1,1906.7,0.419,0.507,0
"HR_avg_pct_max","RI",1891.1,1921.9,0.387,0.451,7.2
"HR_avg_pct_max","RS",1883.9,1923.5,0.408,0.49,0
"HR_peak","RI",1953.3,1984,0.326,0.384,3.5
"HR_peak","RS",1949.8,1989.4,0.328,0.402,0
"TRIMP_min","RI",1894,1924.8,0.39,0.453,5.7
"TRIMP_min","RS",1888.3,1927.9,0.406,0.486,0
