"model","context","estimate","SE","lower.CL","upper.CL","CI_95"
"TRIMP_min","practice",0.578,0.042,0.495,0.66,"[0.495, 0.66]"
"TRIMP_min","game",0.428,0.093,0.246,0.61,"[0.246, 0.61]"
"HR_avg_pct_max","practice",0.657,0.046,0.567,0.746,"[0.567, 0.746]"
"HR_avg_pct_max","game",0.383,0.085,0.215,0.55,"[0.215, 0.55]"
"HR80_pct_rd","practice",0.535,0.04,0.456,0.614,"[0.456, 0.614]"
"HR80_pct_rd","game",0.521,0.106,0.314,0.729,"[0.314, 0.729]"
"HR_peak","practice",0.504,0.051,0.403,0.605,"[0.403, 0.605]"
"HR_peak","game",-0.026,0.14,-0.301,0.249,"[-0.301, 0.249]"
