"context","n","n_athletes","sRPE_mean","sRPE_sd","TRIMP_min_mean","TRIMP_min_sd","HR_avg_pct_max_mean","HR_avg_pct_max_sd","HR80_pct_rd_mean","HR80_pct_rd_sd","HR_peak_mean","HR_peak_sd","TRIMP_mean","TRIMP_sd","HR80_mins_mean","HR80_mins_sd","duration_mins_mean","duration_mins_sd","duration_exposure_mean","duration_exposure_sd","sRPE_TL_exposure_mean","sRPE_TL_exposure_sd"
"game",269,11,6.76,1.44,1.22,0.21,70.48,4.17,22.48,7.05,192.28,6.73,210.97,38.17,34.48,10.5,154.01,8.3,14.51,3.58,101.93,37.54
"practice",633,11,5.42,1.46,1.2,0.32,67.32,5.46,22.18,12.25,184.32,8.11,97.75,30.49,16.93,9.13,77.11,15.04,77.11,15.04,424.79,157.57
