"HR_metric","beta_within","SE","CI_95","p","R2_m","AIC"
"HR_avg_pct_max",0.665,0.036,"[0.594, 0.735]","< .001",0.317,4762
"HR80_pct_rd",0.585,0.032,"[0.522, 0.648]","< .001",0.318,4769.3
"TRIMP_min",0.599,0.033,"[0.533, 0.664]","< .001",0.315,4778.4
"HR_peak",0.557,0.042,"[0.475, 0.638]","< .001",0.237,4944.4
