"HR_metric","beta_within","SE","CI_95","p","R2_m","AIC"
"HR_avg_pct_max",0.657,0.046,"[0.567, 0.746]","< .001",0.268,2880.1
"TRIMP_min",0.578,0.042,"[0.495, 0.66]","< .001",0.263,2894.7
"HR80_pct_rd",0.535,0.04,"[0.456, 0.614]","< .001",0.261,2901.5
"HR_peak",0.504,0.051,"[0.403, 0.605]","< .001",0.189,2993.4
