"context","n","n_athletes","sRPE_mean","sRPE_sd","TRIMP_min_mean","TRIMP_min_sd","HR_avg_pct_max_mean","HR_avg_pct_max_sd","HR80_pct_rd_mean","HR80_pct_rd_sd","HR_peak_mean","HR_peak_sd","TRIMP_mean","TRIMP_sd","HR80_mins_mean","HR80_mins_sd","duration_mins_mean","duration_mins_sd","duration_exposure_mean","duration_exposure_sd","sRPE_TL_exposure_mean","sRPE_TL_exposure_sd"
"game",427,19,6.91,1.34,1.24,0.21,70.79,4.18,23.36,7.26,191.51,8.03,214.3,38.71,35.85,10.94,153.96,8.31,15.7,3.85,112.69,39.37
"practice",1075,19,5.49,1.44,1.22,0.31,67.73,5.28,22.85,11.45,184.04,8.7,99.2,31.23,17.51,8.93,77,14.97,77,14.97,430.27,159.41
