"HR_metric","model_type","AIC","BIC","R2_marginal","R2_conditional","delta_AIC"
"HR80_pct_rd","RI",4769.3,4806.5,0.318,0.459,29.9
"HR80_pct_rd","RS",4739.4,4787.3,0.327,0.484,0
"HR_avg_pct_max","RI",4762,4799.2,0.317,0.463,21.7
"HR_avg_pct_max","RS",4740.3,4788.2,0.339,0.5,0
"HR_peak","RI",4944.4,4981.6,0.237,0.39,63.8
"HR_peak","RS",4880.6,4928.4,0.268,0.449,0
"TRIMP_min","RI",4778.4,4815.6,0.315,0.456,15.8
"TRIMP_min","RS",4762.6,4810.4,0.33,0.481,0
